ᱥᱟᱱᱛᱟᱲᱤ,English
ᱟᱨᱚᱱ,Aaron
ᱟᱨᱚᱱ,Aarón
ᱟᱵᱟᱠᱚ,Abaco
ᱟᱵᱰ,Abd
ᱟᱹᱵᱰᱟᱞᱟ,Abdala
ᱟᱹᱵᱰᱟᱹᱞᱟᱦ,Abdallah
ᱟᱵᱰᱮᱞ,Abdel
ᱟᱹᱵᱰᱤᱭᱟᱥ,Abdías
ᱟᱹᱵᱰᱤᱭᱮᱞ,Abdiel
ᱟᱵᱰᱚ,Abdo
ᱟᱵᱰᱚᱱ,Abdón
ᱟᱹᱵᱫᱩ,Abdu
ᱟᱹᱵᱫᱩᱞ,Abdul
ᱟᱹᱵᱫᱩᱞ,Abdul
ᱟᱹᱵᱫᱩᱞᱟ,Abdulla
ᱟᱹᱵᱫᱩᱞᱟᱦ,Abdullah
ᱟᱹᱵᱮᱞ,Abel
ᱟᱹᱵᱮᱞᱟᱰ,Abélard
ᱟᱹᱵᱮᱞᱟᱨᱰᱚ,Abelardo
ᱟᱹᱵᱮᱞᱮ,Abele
ᱟᱹᱵᱮᱱᱟᱢᱮᱨ,Abenamar
ᱟᱹᱵᱮᱨᱟᱨᱰᱚ,Aberardo
ᱟᱹᱵᱮᱨᱠᱤᱭᱳ,Abercio
ᱟᱹᱵᱮᱨᱯᱷᱚᱨᱛᱷ,Aberforth
ᱟᱹᱵᱤᱜᱮᱞ,Abigail
ᱟᱹᱵᱤᱞᱤᱭᱚ,Abilio
ᱟᱹᱵᱽᱨᱟᱦᱟᱹᱢ,Abraám
ᱟᱹᱵᱽᱨᱟᱦᱟᱹᱢ,Abraham
ᱟᱹᱵᱽᱨᱟᱦᱟᱹᱱ,Abrahán
ᱟᱹᱵᱽᱨᱟᱹᱢ,Abram
ᱟᱹᱵᱽᱨᱟᱢᱚ,Abramo
ᱟᱹᱵᱥᱟᱹᱞᱚᱱ,Absalón
ᱟᱹᱵᱥᱚᱞᱚᱱ,Absolon
ᱟᱹᱵᱩ,Abu
ᱟᱹᱵᱩᱤᱥᱟ,Abuissa
ᱟᱹᱵᱩᱫ,Abud
ᱟᱹᱵᱩᱱᱫᱤᱭᱚ,Abundio
ᱟᱠᱟᱠᱤᱭᱚ,Acacio
ᱟᱹᱠᱷᱤᱞᱮ,Achille
ᱟᱹᱠᱷᱤᱠᱮᱥ,Achilles
ᱟᱹᱠᱩᱠᱤᱭᱚ,Acucio
ᱟᱹᱰᱟᱞᱵᱟᱹᱨᱴ,Adalbert
ᱟᱹᱰᱟᱞᱵᱟᱹᱨᱴᱚ,Adalberto
ᱟᱹᱫᱟᱹᱞᱯᱷᱤᱭᱮᱨᱤ,Adalfieri
ᱟᱰᱚᱞᱤᱱᱳ,Adalino
ᱟᱰᱚᱢ,Adam
ᱟᱫᱚᱱ,Adan
ᱟᱫᱚᱱ,Adán
ᱟᱫᱚᱤᱨ,Adair
ᱟᱫᱚᱩᱠᱳ,Adauco
ᱟᱫᱤᱥᱳᱱ,Addison
ᱟᱰᱮᱞᱟᱨᱰᱚ,Adelardo
ᱟᱰᱮᱞᱵᱮᱨᱚᱴ,Adelberot
ᱟᱰᱮᱞᱯᱷᱚ,Adelfo
ᱟᱰᱮᱞᱤᱱᱚ,Adelino
ᱟᱰᱮᱞᱤᱭᱳ,Adelio
ᱟᱰᱮᱞᱢᱟᱨ,Adelmar
ᱟᱰᱮᱞᱢᱚ,Adelmo
ᱟᱰᱮᱞᱠᱤ,Adelqui
ᱟᱰᱮᱞᱠᱣᱤᱥ,Adelquis
ᱟᱰᱮᱢ,Adem
ᱟᱰᱮᱢᱟᱨ,Ademar
ᱟᱰᱮᱢᱟᱨᱚ,Ademaro
ᱟᱰᱮᱱ,Aden
ᱟᱰᱮᱨᱦᱚᱞᱴ,Aderholt
ᱟᱰᱮᱨᱤᱴᱚ,Aderito
ᱟᱰᱜᱟᱨᱰᱚ,Adgardo
ᱟᱰᱷᱮᱢᱟᱨ,Adhemar
ᱟᱰᱤᱵ,Adib
ᱟᱰᱤᱵᱮᱨᱴᱚ,Adiberto
ᱟᱰᱤᱮᱞ,Adiel
ᱟᱰᱤᱨᱟᱱᱚ,Adirano
ᱟᱫᱤᱛᱭᱟᱹ,Aditya
ᱟᱰᱚ,Ado
ᱟᱹᱰᱚᱞᱯᱷ,Adolf
ᱟᱹᱰᱚᱞᱯᱷᱚ,Adolfo
ᱟᱹᱰᱚᱞᱯᱷ,Adolph
ᱟᱹᱰᱚᱞᱯᱷᱮ,Adolphe
ᱟᱹᱰᱚᱞᱯᱷᱚ,Adolpho
ᱟᱹᱰᱚᱞᱯᱷᱩᱥ,Adolphus
ᱟᱹᱰᱚᱱᱟᱭ,Adonaí
ᱟᱹᱰᱚᱱᱮᱭ,Adonay
ᱟᱹᱰᱚᱱ,Adone
ᱟᱹᱰᱚᱱᱤᱭᱟᱹᱥ,Adonías
ᱟᱹᱰᱚᱱᱤᱥ,Adonis
ᱮᱰᱨᱤᱭᱟ,Adria
ᱮᱰᱨᱤᱭᱟ,Adrià
ᱮᱰᱨᱤᱭᱟᱱ,Adrian
ᱮᱰᱨᱤᱭᱟᱱ,Adrián
ᱮᱰᱨᱤᱭᱟᱱ,Adrían
ᱮᱰᱨᱤᱭᱟᱱᱚ,Adriano
ᱮᱰᱨᱤᱭᱮᱞ,Adriel
ᱮᱰᱨᱤᱭᱮᱞ,Adríel
ᱮᱰᱨᱤᱭᱮᱱ,Adrien
ᱮᱭᱰᱮᱱ,Aedan
ᱮᱞᱚᱦᱤᱢ,Aelohim
ᱮᱭᱱᱮᱭᱟᱥ,Aeneas
ᱮᱭᱥᱠᱟᱭᱞᱩᱥ,Aeschylus
ᱮᱛᱷᱮᱞᱥᱴᱟᱱ,Æthelstan
ᱮᱛᱷᱮᱞᱣᱩᱞᱯᱷ,Æthelwulf
ᱮᱯᱷᱚᱱᱥᱚ,Affonso
ᱮᱯᱷᱮᱱᱰᱚᱣᱞᱤᱥ,Afendoulis
ᱮᱯᱷᱚᱱᱥᱚ,Afonso
ᱟᱜᱟ,Aga
ᱟᱜᱟᱢᱮᱢᱱᱚᱱ,Agamemnon
