My name is Sagun. ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾
Your name is Sagun. ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾
Her name is Sagun. ᱩᱱᱤᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾
His name is Sagun. ᱩᱱᱤᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾
Time	ᱚᱠᱛᱚ
Press	ᱚᱛᱟ
Day	ᱫᱤᱱ
Week	ᱦᱟᱴ
Month	ᱪᱟᱸᱫᱚ
Year	ᱥᱮᱨᱢᱟ
Hour	ᱴᱟᱲᱟᱝ
Minute	ᱴᱤᱯᱤᱡ
Second	ᱴᱤᱡ
Black	ᱦᱮᱸᱫᱮ
Blue	ᱞᱤᱞ
Red	ᱟᱨᱟᱜ
Green	ᱦᱟ.ᱨᱤᱭᱟ.ᱲ
White	ᱯᱩᱸᱰ
Yellow	ᱥᱟᱥᱟᱝ
Brown	ᱢᱟᱴᱤᱭᱟᱲ
Orange	ᱜᱮᱨᱩᱟ
Brinjal	ᱵᱮᱱᱜᱩᱱᱤ
Sunday	ᱥᱤᱸᱜᱩᱱ
Monday	ᱚᱛᱮ
Tuesday	ᱵᱟᱞᱮ
Wednesday	ᱥᱟ.ᱜᱩᱱ
Thursday	ᱥᱟ.ᱨᱫᱤ
Friday	ᱡᱟ.ᱨᱩᱵ
Saturday	ᱧᱩᱸᱦᱩᱢ
January	ᱡᱟᱱᱩᱟᱨᱤ
February	ᱯᱦᱮᱵᱨᱩᱟᱨᱭ
March	ᱢᱟᱨᱪ
April	ᱮᱯᱨᱤᱞ
May	ᱢᱮᱭ
June	ᱡᱩᱱ
July	ᱡᱩᱞᱭ
August	ᱟᱜᱚᱥᱴ
September	ᱥᱮᱯᱴᱮᱢᱵᱚᱨ
October	ᱚᱠᱴᱚᱵᱚᱨ
November	ᱱᱚᱵᱷᱮᱢᱵᱚᱨ
December	ᱰᱤᱥᱮᱢᱵᱚᱨ
