ᱥᱟᱱᱛᱟᱲᱤ	English
ᱟᱞᱮ ᱫᱤᱥᱚᱢ ᱵᱩᱨᱩ ᱫᱤᱥᱚᱢ ᱾	Our Country full of mountains.
ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?	What is you name?
ᱥᱟᱱᱛᱟᱲᱤ ᱥᱮ ᱥᱟᱱᱛᱟᱲᱤ ᱯᱟᱹᱨᱥᱤ?	Santali language or Santali language
ᱫᱤᱥᱚᱢ ᱠᱷᱚᱵᱚᱨ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ ?	What are some village news?
ᱟᱭᱳ ᱟᱨᱟᱝ ᱯᱩᱭᱞᱩ ᱥᱮᱨᱢᱟ ᱥᱮᱱᱮᱞᱮᱫ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ ᱾	Aryo Arag completed it's first anniversary.
ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱨᱟᱹᱜᱷᱩᱱᱟᱛᱷ ᱠᱟᱱᱟ ᱾	My name is Raghunath.
ᱤᱧ ᱫᱚ ᱵᱟᱹᱧ ᱥᱮᱨᱮᱧ ᱞᱮᱜᱼᱟ ᱾	I didn't sang.
ᱤᱧ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ ᱥᱮᱨᱮᱧ ᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱮᱜᱼᱟ ᱾	I sang a welcome song.
ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?	What is my name?
ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾	My name is Sagun.
ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱵᱤᱥᱩ ᱠᱟᱱᱟ ᱾	My name is Bisu.
ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾	Your name is Sagun.
ᱩᱱᱤᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱠᱟᱹᱦᱩ ᱠᱟᱱᱟ ᱾	His name is Kahu.
ᱩᱱᱤᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾	His name is Sagun.
ᱱᱚᱶᱟ ᱠᱚ ᱫᱚ ᱴᱷᱤᱠ ᱠᱟᱱᱟ ᱾	These are ok.
ᱵᱟᱥᱮᱱ ᱢᱩᱨᱢᱩ ᱫᱚ ᱵᱟᱹᱱᱩᱜ ᱮᱭᱟ᱾	Basen Murmu is no more.
ᱱᱚᱶᱟ ᱠᱚ ᱫᱚ ᱧᱩᱛᱩᱢ ᱠᱟᱱᱟ ᱾	These are names.
ᱱᱚᱶᱟ ᱤᱧᱟᱜ ᱵᱟᱹᱫ ᱠᱟᱱᱟ ᱾	This is my crop.
ᱱᱚᱶᱟ ᱤᱧᱟᱜ ᱵᱟᱹᱫ ᱵᱟᱝ ᱠᱟᱱᱟ ᱾	This is not my crop.
ᱤᱧ ᱫᱚ ᱵᱟᱹᱧ ᱠᱩᱥᱤ ᱟᱢᱟ ᱾	I don't like you.
