ᱥᱟᱱᱛᱟᱲᱤ,English
Aaron,ᱟᱨᱚᱱ
Aarón,ᱟᱨᱚᱱ
Abaco,ᱟᱵᱟᱠᱚ
Abd,ᱟᱵᱰ
Abdala,ᱟᱹᱵᱰᱟᱞᱟ
Abdallah,ᱟᱹᱵᱰᱟᱹᱞᱟᱦ
Abdel,ᱟᱵᱰᱮᱞ
Abdías,ᱟᱹᱵᱰᱤᱭᱟᱥ
Abdiel,ᱟᱹᱵᱰᱤᱭᱮᱞ
Abdo,ᱟᱵᱰᱚ
Abdón,ᱟᱵᱰᱚᱱ
Abdu,ᱟᱹᱵᱫᱩ
Abdul,ᱟᱹᱵᱫᱩᱞ
Abdul,ᱟᱹᱵᱫᱩᱞ
Abdulla,ᱟᱹᱵᱫᱩᱞᱟ
Abdullah,ᱟᱹᱵᱫᱩᱞᱟᱦ
Abel,ᱟᱹᱵᱮᱞ
Abélard,ᱟᱹᱵᱮᱞᱟᱰ
Abelardo,ᱟᱹᱵᱮᱞᱟᱨᱰᱚ
Abele,ᱟᱹᱵᱮᱞᱮ
Abenamar,ᱟᱹᱵᱮᱱᱟᱢᱮᱨ
Aberardo,ᱟᱹᱵᱮᱨᱟᱨᱰᱚ
Abercio,ᱟᱹᱵᱮᱨᱠᱤᱭᱳ
Aberforth,ᱟᱹᱵᱮᱨᱯᱷᱚᱨᱛᱷ
Abigail,ᱟᱹᱵᱤᱜᱮᱞ
Abilio,ᱟᱹᱵᱤᱞᱤᱭᱚ
Abraám,ᱟᱹᱵᱽᱨᱟᱦᱟᱹᱢ
Abraham,ᱟᱹᱵᱽᱨᱟᱦᱟᱹᱢ
Abrahán,ᱟᱹᱵᱽᱨᱟᱦᱟᱹᱱ
Abram,ᱟᱹᱵᱽᱨᱟᱹᱢ
Abramo,ᱟᱹᱵᱽᱨᱟᱢᱚ
Absalón,ᱟᱹᱵᱥᱟᱹᱞᱚᱱ
Absolon,ᱟᱹᱵᱥᱚᱞᱚᱱ
Abu,ᱟᱹᱵᱩ
Abuissa,ᱟᱹᱵᱩᱤᱥᱟ
Abud,ᱟᱹᱵᱩᱫ
Abundio,ᱟᱹᱵᱩᱱᱫᱤᱭᱚ
Acacio,ᱟᱠᱟᱠᱤᱭᱚ
Achille,ᱟᱹᱠᱷᱤᱞᱮ
Achilles,ᱟᱹᱠᱷᱤᱠᱮᱥ
Acucio,ᱟᱹᱠᱩᱠᱤᱭᱚ
Adalbert,ᱟᱹᱰᱟᱞᱵᱟᱹᱨᱴ
Adalberto,ᱟᱹᱰᱟᱞᱵᱟᱹᱨᱴᱚ
Adalfieri,ᱟᱹᱫᱟᱹᱞᱯᱷᱤᱭᱮᱨᱤ
Adalino,ᱟᱰᱚᱞᱤᱱᱳ
Adam,ᱟᱰᱚᱢ
Adan,ᱟᱫᱚᱱ
Adán,ᱟᱫᱚᱱ
Adair,ᱟᱫᱚᱤᱨ
Adauco,ᱟᱫᱚᱩᱠᱳ
Addison,ᱟᱫᱤᱥᱳᱱ
Adelardo,ᱟᱰᱮᱞᱟᱨᱰᱚ
Adelberot,ᱟᱰᱮᱞᱵᱮᱨᱚᱴ
Adelfo,ᱟᱰᱮᱞᱯᱷᱚ
Adelino,ᱟᱰᱮᱞᱤᱱᱚ
Adelio,ᱟᱰᱮᱞᱤᱭᱳ
Adelmar,ᱟᱰᱮᱞᱢᱟᱨ
Adelmo,ᱟᱰᱮᱞᱢᱚ
Adelqui,ᱟᱰᱮᱞᱠᱤ
Adelquis,ᱟᱰᱮᱞᱠᱣᱤᱥ
Adem,ᱟᱰᱮᱢ
Ademar,ᱟᱰᱮᱢᱟᱨ
Ademaro,ᱟᱰᱮᱢᱟᱨᱚ
Aden,ᱟᱰᱮᱱ
Aderholt,ᱟᱰᱮᱨᱦᱚᱞᱴ
Aderito,ᱟᱰᱮᱨᱤᱴᱚ
Adgardo,ᱟᱰᱜᱟᱨᱰᱚ
Adhemar,ᱟᱰᱷᱮᱢᱟᱨ
Adib,ᱟᱰᱤᱵ
Adiberto,ᱟᱰᱤᱵᱮᱨᱴᱚ
Adiel,ᱟᱰᱤᱮᱞ
Adirano,ᱟᱰᱤᱨᱟᱱᱚ
Aditya,ᱟᱫᱤᱛᱭᱟᱹ
Ado,ᱟᱰᱚ
Adolf,ᱟᱹᱰᱚᱞᱯᱷ
Adolfo,ᱟᱹᱰᱚᱞᱯᱷᱚ
Adolph,ᱟᱹᱰᱚᱞᱯᱷ
Adolphe,ᱟᱹᱰᱚᱞᱯᱷᱮ
Adolpho,ᱟᱹᱰᱚᱞᱯᱷᱚ
Adolphus,ᱟᱹᱰᱚᱞᱯᱷᱩᱥ
Adonaí,ᱟᱹᱰᱚᱱᱟᱭ
Adonay,ᱟᱹᱰᱚᱱᱮᱭ
Adone,ᱟᱹᱰᱚᱱ
Adonías,ᱟᱹᱰᱚᱱᱤᱭᱟᱹᱥ
Adonis,ᱟᱹᱰᱚᱱᱤᱥ
Adria,ᱮᱰᱨᱤᱭᱟ
Adrià,ᱮᱰᱨᱤᱭᱟ
Adrian,ᱮᱰᱨᱤᱭᱟᱱ
Adrián,ᱮᱰᱨᱤᱭᱟᱱ
Adrían,ᱮᱰᱨᱤᱭᱟᱱ
Adriano,ᱮᱰᱨᱤᱭᱟᱱᱚ
Adriel,ᱮᱰᱨᱤᱭᱮᱞ
Adríel,ᱮᱰᱨᱤᱭᱮᱞ
Adrien,ᱮᱰᱨᱤᱭᱮᱱ
Aedan,ᱮᱭᱰᱮᱱ
Aelohim,ᱮᱞᱚᱦᱤᱢ
Aeneas,ᱮᱭᱱᱮᱭᱟᱥ
Aeschylus,ᱮᱭᱥᱠᱟᱭᱞᱩᱥ
Æthelstan,ᱮᱛᱷᱮᱞᱥᱴᱟᱱ
Æthelwulf,ᱮᱛᱷᱮᱞᱣᱩᱞᱯᱷ
Affonso,ᱮᱯᱷᱚᱱᱥᱚ
Afendoulis,ᱮᱯᱷᱮᱱᱰᱚᱣᱞᱤᱥ
Afonso,ᱮᱯᱷᱚᱱᱥᱚ
Aga,ᱟᱜᱟ
Agamemnon,ᱟᱜᱟᱢᱮᱢᱱᱚᱱ
Agamenón,ᱟᱜᱟᱢᱮᱱᱚᱱ
Agapeto,ᱟᱜᱟᱯᱮᱴᱚ
Agapio,ᱟᱜᱟᱯᱤᱭᱚ
Agapito,ᱟᱜᱟᱯᱤᱴᱚ
Agatón,ᱟᱜᱟᱴᱚᱱ
Agenor,ᱟᱜᱮᱱᱚᱨ
Ageo,ᱟᱜᱮᱭᱚ
Agilberto,ᱟᱹᱜᱤᱞᱵᱮᱨᱴᱚ
Agostino,ᱟᱹᱜᱚᱥᱴᱤᱱᱚ
Agripino,ᱟᱹᱜᱽᱨᱤᱯᱤᱱᱚ
Agustin,ᱚᱜᱚᱥᱴᱤᱱ
Agustín,ᱚᱜᱚᱥᱴᱤᱱ
Agustín,ᱟᱹᱜᱩᱥᱴᱤᱱ
Agusttin,ᱚᱜᱩᱥᱴᱤᱱ
Ahmad,ᱟᱹᱦᱢᱟᱹᱫ
Ahmed,ᱟᱹᱦᱢᱮᱫ
Aicardo,ᱮᱭᱠᱟᱨᱰᱚ
Aidan,ᱮᱭᱰᱟᱱ
Aidano,ᱮᱭᱰᱟᱱᱚ
Aiden,ᱮᱭᱰᱮᱱ
Aikué,ᱮᱭᱠᱣᱮ
Aimé,ᱮᱭᱢᱮ
Aimón,ᱮᱭᱢᱚᱱ
Aingeru,ᱮᱭᱱᱜᱮᱨᱩ
Aitor,ᱮᱭᱛᱚᱨ
Ajmet,ᱟᱡᱢᱮᱴ
Akhenaten,ᱟᱠᱷᱮᱱᱟᱴᱮᱱ
Akiro,ᱟᱹᱠᱤᱨᱚ
Akzam,ᱟᱠᱡᱟᱱ
Al,ᱟᱞ
Al,ᱚᱞ
Aladino,ᱟᱞᱟᱫᱤᱱᱚ
Alain,ᱟᱞᱟᱤᱱ
Alan,ᱟᱞᱟᱱ
Alan,ᱮᱞᱟᱱ
Alano,ᱟᱞᱟᱱᱚ
Alaor,ᱟᱞᱟᱚᱨ
Alarico,ᱟᱞᱟᱨᱤᱠᱚ
Alasdair,ᱟᱞᱟᱥᱰᱟᱭᱮᱨ
Alastair,ᱟᱞᱟᱥᱴᱟᱭᱟᱹᱨ
Albán,ᱟᱞᱵᱟᱱ
Albano,ᱟᱞᱵᱟᱱᱚ
Albar,ᱟᱞᱵᱟᱨ
Albaro,ᱟᱞᱵᱟᱨᱴᱚ
Alberico,ᱟᱞᱵᱮᱨᱤᱠᱚ
Albert,ᱟᱹᱞᱵᱟᱹᱨᱴ
Albert,ᱚᱞᱵᱚᱴ
Albert,ᱮᱞᱵᱚᱴ
Albert,ᱮᱞᱵᱚᱨᱴ
Albert,ᱟᱹᱞᱵᱟᱹᱨᱴᱷ
Alberto,ᱟᱹᱞᱵᱟᱹᱨᱴ
Albicio,ᱟᱹᱞᱵᱤᱠᱚ
Albido,ᱟᱹᱞᱵᱤᱰᱚ
Albin,ᱟᱞᱵᱤᱱ
Albrecht,ᱟᱹᱞᱵᱽᱨᱮᱪᱴ
Albus,ᱟᱞᱵᱩᱥ
Alcee,ᱟᱞᱥᱤ
